20316	88.50
7431	69.94
55969	72.17
24370	63.52
62125	81.06
42143	88.23
63353	65.42
14795	99.19
34689	78.04
20172	98.07
5157	70.58
20330	82.82
16922	74.74
6573	73.24
62709	93.98
26977	72.23
6843	62.57
58071	105.94
235	92.55
13596	96.05
19210	66.25
54798	89.70
64801	83.63
8279	70.58
60101	81.56
58292	69.28
18400	65.16
32853	90.40
13245	65.18
45499	63.30
47533	85.20
2851	98.30
20715	107.66
10116	98.21
33990	70.60
2353	103.11
51820	73.84
18926	101.99
36145	60.55
61178	87.47
17277	97.25
11749	96.11
46320	87.38
40180	73.03
2529	97.84
56780	97.63
4527	75.29
14216	103.60
38441	94.59
40534	69.17
62982	69.18
28437	93.29
59583	96.40
36926	93.04
17765	92.08
26747	100.04
20976	103.39
27064	66.27
32569	66.08
16741	81.01
51191	97.02
19746	73.89
5733	108.78
12704	89.91
35268	105.40
60182	94.18
3805	95.90
41868	64.19
46325	61.48
21989	103.99
1409	74.02
45468	78.39
30634	72.58
23197	97.17
22503	107.10
26857	75.01
13267	100.53
48589	64.01
60105	63.99
65523	64.35
38117	81.88
63799	88.46
16047	97.62
58039	76.30
58206	93.24
12915	106.13
47351	101.80
63631	61.35
8701	71.69
38751	81.49
36296	74.81
11647	76.29
20671	82.40
29850	68.27
31919	61.92
17121	84.49
20489	81.19
10624	67.27
17731	70.08
11855	92.04
